model_id,downloads,tasks,parameters,tags,license,datasets,model_name,metrics,base_model,languages
Systran/faster-whisper-tiny,580112,automatic-speech-recognition,,"['ctranslate2', 'audio', 'automatic-speech-recognition', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'license:mit', 'region:us']",mit,,,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
JackFram/llama-68m,580093,text-generation,,"['transformers', 'pytorch', 'llama', 'text-generation', 'en', 'dataset:wikipedia', 'arxiv:2305.09781', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['wikipedia'],,,,['en']
TahaDouaji/detr-doc-table-detection,577609,object-detection,41608135.0,"['transformers', 'pytorch', 'safetensors', 'detr', 'object-detection', 'arxiv:2005.12872', 'arxiv:1910.09700', 'base_model:facebook/detr-resnet-50', 'base_model:finetune:facebook/detr-resnet-50', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,facebook/detr-resnet-50,
Qwen/Qwen2.5-0.5B,573129,text-generation,494032768.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'en', 'arxiv:2407.10671', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,['en']
microsoft/table-transformer-structure-recognition-v1.1-all,572754,object-detection,28847819.0,"['transformers', 'safetensors', 'table-transformer', 'object-detection', 'arxiv:2303.00716', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,
llamafactory/tiny-random-Llama-3,564743,text-generation,4112464.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'region:us']",apache-2.0,,,,,
facebook/hubert-large-ls960-ft,562833,automatic-speech-recognition,,"['transformers', 'pytorch', 'tf', 'hubert', 'automatic-speech-recognition', 'speech', 'audio', 'hf-asr-leaderboard', 'en', 'dataset:libri-light', 'dataset:librispeech_asr', 'arxiv:2106.07447', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,"['libri-light', 'librispeech_asr']",hubert-large-ls960-ft,,,en
SamLowe/roberta-base-go_emotions,559008,text-classification,124667678.0,"['transformers', 'pytorch', 'safetensors', 'roberta', 'text-classification', 'emotions', 'multi-class-classification', 'multi-label-classification', 'en', 'dataset:go_emotions', 'doi:10.57967/hf/3548', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,['go_emotions'],,,,en
modularai/Llama-3.1-8B-Instruct-GGUF,558726,text-generation,,"['gguf', 'llama', 'facebook', 'meta', 'pytorch', 'llama-3', 'text-generation', 'conversational', 'en', 'arxiv:2204.05149', 'base_model:meta-llama/Llama-3.1-8B-Instruct', 'base_model:quantized:meta-llama/Llama-3.1-8B-Instruct', 'license:llama3', 'region:us']",llama3,,Llama 3.1 8B,,meta-llama/Meta-Llama-3.1-8B-Instruct,['en']
yuvalkirstain/PickScore_v1,558276,zero-shot-image-classification,986109774.0,"['transformers', 'pytorch', 'safetensors', 'clip', 'zero-shot-image-classification', 'arxiv:2305.01569', 'endpoints_compatible', 'region:us']",,,,,,
google/flan-t5-small,555509,text2text-generation,76961152.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 't5', 'text2text-generation', 'en', 'fr', 'ro', 'de', 'multilingual', 'dataset:svakulenk0/qrecc', 'dataset:taskmaster2', 'dataset:djaym7/wiki_dialog', 'dataset:deepmind/code_contests', 'dataset:lambada', 'dataset:gsm8k', 'dataset:aqua_rat', 'dataset:esnli', 'dataset:quasc', 'dataset:qed', 'arxiv:2210.11416', 'arxiv:1910.09700', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,"['svakulenk0/qrecc', 'taskmaster2', 'djaym7/wiki_dialog', 'deepmind/code_contests', 'lambada', 'gsm8k', 'aqua_rat', 'esnli', 'quasc', 'qed']",,,,"['en', 'fr', 'ro', 'de', 'multilingual']"
briaai/RMBG-1.4,554599,image-segmentation,44075590.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'SegformerForSemanticSegmentation', 'image-segmentation', 'remove background', 'background', 'background-removal', 'Pytorch', 'vision', 'legal liability', 'transformers.js', 'custom_code', 'license:other', 'region:us']",other,,,,,
Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,552540,image-text-to-text,5198628129.0,"['transformers', 'safetensors', 'mllama', 'image-text-to-text', 'conversational', 'arxiv:2412.10151', 'arxiv:2403.11399', 'arxiv:2403.10882', 'license:llama3.2', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3.2,,,,,
deepseek-ai/DeepSeek-V3-Base,552414,,684531386000.0,"['safetensors', 'deepseek_v3', 'custom_code', 'arxiv:2412.19437', 'fp8', 'region:us']",,,,,,
speechbrain/spkrec-resnet-voxceleb,551563,,,"['speechbrain', 'embeddings', 'Speaker', 'Verification', 'Identification', 'pytorch', 'ResNet', 'TDNN', 'en', 'dataset:voxceleb', 'arxiv:2106.04624', 'license:apache-2.0', 'region:us']",apache-2.0,['voxceleb'],,['EER'],,en
amazon/chronos-bolt-mini,549390,time-series-forecasting,21236096.0,"['safetensors', 't5', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:1910.10683', 'arxiv:2403.07815', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
nlpaueb/legal-bert-base-uncased,548239,fill-mask,,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'pretraining', 'legal', 'fill-mask', 'en', 'license:cc-by-sa-4.0', 'endpoints_compatible', 'region:us']",cc-by-sa-4.0,,,,,en
sentence-transformers/paraphrase-MiniLM-L3-v2,545234,sentence-similarity,17390336.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:s2orc', 'dataset:ms_marco', 'dataset:wiki_atomic_edits', 'dataset:snli', 'dataset:multi_nli', 'dataset:embedding-data/altlex', 'dataset:embedding-data/simple-wiki', 'dataset:embedding-data/flickr30k-captions', 'dataset:embedding-data/coco_captions', 'dataset:embedding-data/sentence-compression', 'dataset:embedding-data/QQP', 'dataset:yahoo_answers_topics', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,"['flax-sentence-embeddings/stackexchange_xml', 's2orc', 'ms_marco', 'wiki_atomic_edits', 'snli', 'multi_nli', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/flickr30k-captions', 'embedding-data/coco_captions', 'embedding-data/sentence-compression', 'embedding-data/QQP', 'yahoo_answers_topics']",,,,
datificate/gpt2-small-spanish,544830,text-generation,,"['transformers', 'pytorch', 'tf', 'jax', 'gpt2', 'text-generation', 'es', 'dataset:wikipedia', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['wikipedia'],,,,es
distilbert/distilbert-base-cased-distilled-squad,543859,question-answering,65192450.0,"['transformers', 'pytorch', 'tf', 'rust', 'safetensors', 'openvino', 'distilbert', 'question-answering', 'en', 'dataset:squad', 'arxiv:1910.01108', 'arxiv:1910.09700', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,['squad'],distilbert-base-cased-distilled-squad,['squad'],,en
Qwen/Qwen2.5-14B-Instruct,542862,text-generation,14770033664.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-14B', 'base_model:finetune:Qwen/Qwen2.5-14B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-14B,['en']
ZhengPeng7/BiRefNet,542591,image-segmentation,220700242.0,"['birefnet', 'safetensors', 'background-removal', 'mask-generation', 'Dichotomous Image Segmentation', 'Camouflaged Object Detection', 'Salient Object Detection', 'pytorch_model_hub_mixin', 'model_hub_mixin', 'image-segmentation', 'custom_code', 'arxiv:2401.03407', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,
unslothai/vram-8,541817,feature-extraction,0.0,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
amunchet/rorshark-vit-base,541494,image-classification,85800194.0,"['transformers', 'tensorboard', 'safetensors', 'vit', 'image-classification', 'vision', 'generated_from_trainer', 'dataset:imagefolder', 'base_model:google/vit-base-patch16-224-in21k', 'base_model:finetune:google/vit-base-patch16-224-in21k', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,['imagefolder'],rorshark-vit-base,['accuracy'],google/vit-base-patch16-224-in21k,
Systran/faster-whisper-large-v2,541208,automatic-speech-recognition,,"['ctranslate2', 'audio', 'automatic-speech-recognition', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'license:mit', 'region:us']",mit,,,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
Systran/faster-whisper-small,540451,automatic-speech-recognition,,"['ctranslate2', 'audio', 'automatic-speech-recognition', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'license:mit', 'region:us']",mit,,,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
csebuetnlp/banglat5_banglaparaphrase,538394,text2text-generation,,"['transformers', 'pytorch', 't5', 'text2text-generation', 'bn', 'arxiv:2210.05109', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,['bn']
sentence-transformers/all-distilroberta-v1,537147,sentence-similarity,82118914.0,"['sentence-transformers', 'pytorch', 'rust', 'onnx', 'safetensors', 'openvino', 'roberta', 'fill-mask', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'dataset:s2orc', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:code_search_net', 'dataset:search_qa', 'dataset:eli5', 'dataset:snli', 'dataset:multi_nli', 'dataset:wikihow', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/sentence-compression', 'dataset:embedding-data/flickr30k-captions', 'dataset:embedding-data/altlex', 'dataset:embedding-data/simple-wiki', 'dataset:embedding-data/QQP', 'dataset:embedding-data/SPECTER', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/WikiAnswers', 'arxiv:1904.06472', 'arxiv:2102.07033', 'arxiv:2104.08727', 'arxiv:1704.05179', 'arxiv:1810.09305', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",,,,en
mistralai/Mixtral-8x7B-Instruct-v0.1,535407,text-generation,46702792704.0,"['transformers', 'safetensors', 'mixtral', 'text-generation', 'conversational', 'fr', 'it', 'de', 'es', 'en', 'base_model:mistralai/Mixtral-8x7B-v0.1', 'base_model:finetune:mistralai/Mixtral-8x7B-v0.1', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,mistralai/Mixtral-8x7B-v0.1,"['fr', 'it', 'de', 'es', 'en']"
cointegrated/rubert-tiny2,534901,sentence-similarity,29378550.0,"['sentence-transformers', 'pytorch', 'safetensors', 'bert', 'pretraining', 'russian', 'fill-mask', 'embeddings', 'masked-lm', 'tiny', 'feature-extraction', 'sentence-similarity', 'transformers', 'ru', 'license:mit', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,,,,['ru']
Alibaba-NLP/gte-Qwen2-1.5B-instruct,533177,sentence-similarity,1776197120.0,"['sentence-transformers', 'safetensors', 'qwen2', 'text-generation', 'mteb', 'transformers', 'Qwen2', 'sentence-similarity', 'custom_code', 'arxiv:2308.03281', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-generation-inference', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,gte-qwen2-7B-instruct,,,
xtuner/llava-llama-3-8b-v1_1-transformers,530697,image-text-to-text,8355272704.0,"['xtuner', 'safetensors', 'llava', 'image-text-to-text', 'conversational', 'dataset:Lin-Chen/ShareGPT4V', 'region:us']",,['Lin-Chen/ShareGPT4V'],,,,
avsolatorio/GIST-Embedding-v0,527926,sentence-similarity,109482240.0,"['sentence-transformers', 'pytorch', 'safetensors', 'bert', 'feature-extraction', 'mteb', 'sentence-similarity', 'en', 'arxiv:2402.16829', 'arxiv:2212.09741', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,GIST-Embedding-v0,,,['en']
Qwen/QwQ-32B,526378,text-generation,32763876352.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2412.15115', 'base_model:Qwen/Qwen2.5-32B', 'base_model:finetune:Qwen/Qwen2.5-32B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-32B,['en']
timm/tf_mobilenetv3_large_minimal_100.in1k,523750,image-classification,3948688.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:1905.02244', 'license:apache-2.0', 'region:us']",apache-2.0,['imagenet-1k'],,,,
Helsinki-NLP/opus-mt-en-zh,522409,translation,,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'marian', 'text2text-generation', 'translation', 'en', 'zh', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,"['en', 'zh']"
tencent/Hunyuan3D-2,519244,image-to-3d,,"['hunyuan3d-2', 'diffusers', 'safetensors', 'image-to-3d', 'text-to-3d', 'en', 'zh', 'arxiv:2501.12202', 'arxiv:2411.02293', 'license:other', 'region:us']",other,,,,,"['en', 'zh']"
Salesforce/blip2-opt-2.7b,514491,image-text-to-text,3744761856.0,"['transformers', 'pytorch', 'safetensors', 'blip-2', 'visual-question-answering', 'vision', 'image-to-text', 'image-captioning', 'image-text-to-text', 'en', 'arxiv:2301.12597', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,en
BAAI/bge-large-en,513296,feature-extraction,335142400.0,"['transformers', 'pytorch', 'safetensors', 'bert', 'feature-extraction', 'mteb', 'sentence-transfomres', 'en', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,bge-large-en,,,['en']
Qwen/Qwen2.5-32B-Instruct,513011,text-generation,32763876352.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-32B', 'base_model:finetune:Qwen/Qwen2.5-32B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-32B,['en']
sentence-transformers/roberta-base-nli-mean-tokens,511917,sentence-similarity,124646146.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'roberta', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
meta-llama/Meta-Llama-3-8B,510145,text-generation,8030261248.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'en', 'license:llama3', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3,,,,,['en']
HuggingFaceTB/SmolVLM2-2.2B-Instruct,509750,image-text-to-text,2246784880.0,"['transformers', 'safetensors', 'smolvlm', 'image-text-to-text', 'video-text-to-text', 'conversational', 'en', 'dataset:HuggingFaceM4/the_cauldron', 'dataset:HuggingFaceM4/Docmatix', 'dataset:lmms-lab/LLaVA-OneVision-Data', 'dataset:lmms-lab/M4-Instruct-Data', 'dataset:HuggingFaceFV/finevideo', 'dataset:MAmmoTH-VL/MAmmoTH-VL-Instruct-12M', 'dataset:lmms-lab/LLaVA-Video-178K', 'dataset:orrzohar/Video-STaR', 'dataset:Mutonix/Vript', 'dataset:TIGER-Lab/VISTA-400K', 'dataset:Enxin/MovieChat-1K_train', 'dataset:ShareGPT4Video/ShareGPT4Video', 'base_model:HuggingFaceTB/SmolVLM-Instruct', 'base_model:finetune:HuggingFaceTB/SmolVLM-Instruct', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,"['HuggingFaceM4/the_cauldron', 'HuggingFaceM4/Docmatix', 'lmms-lab/LLaVA-OneVision-Data', 'lmms-lab/M4-Instruct-Data', 'HuggingFaceFV/finevideo', 'MAmmoTH-VL/MAmmoTH-VL-Instruct-12M', 'lmms-lab/LLaVA-Video-178K', 'orrzohar/Video-STaR', 'Mutonix/Vript', 'TIGER-Lab/VISTA-400K', 'Enxin/MovieChat-1K_train', 'ShareGPT4Video/ShareGPT4Video']",,,['HuggingFaceTB/SmolVLM-Instruct'],['en']
Marqo/marqo-fashionSigLIP,507977,zero-shot-image-classification,203155968.0,"['open_clip', 'onnx', 'safetensors', 'siglip', 'clip', 'transformers', 'e-commerce', 'fashion', 'multimodal retrieval', 'transformers.js', 'zero-shot-image-classification', 'custom_code', 'en', 'license:apache-2.0', 'region:us']",apache-2.0,,,"['precision', 'recall', 'MRR']",,['en']
facebook/esm2_t6_8M_UR50D,506956,fill-mask,7841868.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'esm', 'fill-mask', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,,,
meta-llama/Llama-3.2-3B,504481,text-generation,3212749824.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'arxiv:2204.05149', 'arxiv:2405.16406', 'license:llama3.2', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3.2,,,,,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']"
Qwen/Qwen1.5-0.5B-Chat,502007,text-generation,619570176.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2309.16609', 'license:other', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",other,,,,,['en']
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,501900,text-generation,15706484224.0,"['transformers', 'safetensors', 'deepseek_v2', 'text-generation', 'conversational', 'custom_code', 'arxiv:2401.06066', 'license:other', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",other,,,,,
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,500202,text-generation,4650177823.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'llama-3', 'meta', 'facebook', 'unsloth', 'conversational', 'en', 'arxiv:2204.05149', 'base_model:meta-llama/Llama-3.1-8B-Instruct', 'base_model:quantized:meta-llama/Llama-3.1-8B-Instruct', 'license:llama3.1', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'bitsandbytes', 'region:us']",llama3.1,,,,meta-llama/Llama-3.1-8B-Instruct,['en']
google/gemma-3-27b-it,496409,image-text-to-text,27432406640.0,"['transformers', 'safetensors', 'gemma3', 'image-text-to-text', 'conversational', 'arxiv:1905.07830', 'arxiv:1905.10044', 'arxiv:1911.11641', 'arxiv:1904.09728', 'arxiv:1705.03551', 'arxiv:1911.01547', 'arxiv:1907.10641', 'arxiv:1903.00161', 'arxiv:2009.03300', 'arxiv:2304.06364', 'arxiv:2103.03874', 'arxiv:2110.14168', 'arxiv:2311.12022', 'arxiv:2108.07732', 'arxiv:2107.03374', 'arxiv:2210.03057', 'arxiv:2106.03193', 'arxiv:1910.11856', 'arxiv:2502.12404', 'arxiv:2502.21228', 'arxiv:2404.16816', 'arxiv:2104.12756', 'arxiv:2311.16502', 'arxiv:2203.10244', 'arxiv:2404.12390', 'arxiv:1810.12440', 'arxiv:1908.02660', 'arxiv:2312.11805', 'base_model:google/gemma-3-27b-pt', 'base_model:finetune:google/gemma-3-27b-pt', 'license:gemma', 'text-generation-inference', 'endpoints_compatible', 'region:us']",gemma,,,,google/gemma-3-27b-pt,
allenai/olmOCR-7B-0225-preview,490664,image-text-to-text,8291375616.0,"['transformers', 'safetensors', 'qwen2_vl', 'image-text-to-text', 'conversational', 'en', 'dataset:allenai/olmOCR-mix-0225', 'base_model:Qwen/Qwen2-VL-7B-Instruct', 'base_model:finetune:Qwen/Qwen2-VL-7B-Instruct', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['allenai/olmOCR-mix-0225'],,,['Qwen/Qwen2-VL-7B-Instruct'],['en']
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,487143,text-generation,,"['transformers', 'pytorch', 'gpt_neox', 'text-generation', 'sft', 'en', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,['en']
THUDM/glm-4-9b-chat,486573,,9399951392.0,"['transformers', 'safetensors', 'chatglm', 'glm', 'thudm', 'custom_code', 'zh', 'en', 'arxiv:2406.12793', 'license:other', 'region:us']",other,,,,,"['zh', 'en']"
